identifier,source_ref,expected_title,observed_title,expected_dimension,observed_dimension,expected_indicator,observed_indicator,indicator_id,status,error
urn:sds:reg:esrs:e1_1_05,ESRS Official,Financial resources allocated to action plan (OpEx),Financial resources allocated to action plan (OpEx),E,E,Financial resources allocated to action plan (OpEx),Financial resources allocated to action plan (OpEx),urn:ngsi-ld:Indicator:Financial_resources_allocated_to_action_plan_OpEx_,success,
urn:sds:reg:gri:gri_101_6_b_ii,GRI Official,water withdrawal and water consumption in megaliters;,water withdrawal and water consumption in megaliters;,E,E,water withdrawal and water consumption in megaliters;,water withdrawal and water consumption in megaliters;,urn:ngsi-ld:Indicator:water_withdrawal_and_water_consumption_in_megaliters_,success,
urn:sds:reg:esrs:e1_1_06,ESRS Official,Financial resources allocated to action plan (CapEx),Financial resources allocated to action plan (CapEx),E,E,Financial resources allocated to action plan (CapEx),Financial resources allocated to action plan (CapEx),urn:ngsi-ld:Indicator:Financial_resources_allocated_to_action_plan_CapEx_,success,
urn:sds:reg:gri:gri_101_6_c,GRI Official,"for each site reported under 101-5-a where its activities lead or could lead to pollution, report the quantity and the type of each pollutant generated;","for each site reported under 101-5-a where its activities lead or could lead to pollution, report the quantity and the type of each pollutant generated;",E,E,"for each site reported under 101-5-a where its activities lead or could lead to pollution, report the quantity and the type of each pollutant generated;","for each site reported under 101-5-a where its activities lead or could lead to pollution, report the quantity and the type of each pollutant generated;",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_where_its_activities_lead_or_could_lead_to_pollution_report,success,
urn:sds:reg:esrs:e1_1_07,ESRS Official,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,E,E,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,urn:ngsi-ld:Indicator:Explanation_of_potential_locked-in_GHG_emissions_from_key_assets_and_products_and_of_how_locked-,success,
urn:sds:reg:gri:gri_101_6_d,GRI Official,"for each site reported under 101-5-a where its activities lead or could lead to the introduction of invasive alien species, describe how invasive alien species are or may be introduced;","for each site reported under 101-5-a where its activities lead or could lead to the introduction of invasive alien species, describe how invasive alien species are or may be introduced;",E,E,"for each site reported under 101-5-a where its activities lead or could lead to the introduction of invasive alien species, describe how invasive alien species are or may be introduced;","for each site reported under 101-5-a where its activities lead or could lead to the introduction of invasive alien species, describe how invasive alien species are or may be introduced;",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_where_its_activities_lead_or_could_lead_to_the_introduction,success,
urn:sds:reg:esrs:e1_1_08,ESRS Official,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139","Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139",E,E,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139","Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139",urn:ngsi-ld:Indicator:Explanation_of_any_objective_or_plans_CapEx_CapEx_plans_OpEx_for_aligning_economic_activities_re,success,
urn:sds:reg:gri:gri_101_6_e,GRI Official,"for each product and service in its supply chain reported under 101-5-d, report the information required under 101-6-a, 101-6-b, 101-6-c, and 101-6-d, with a breakdown by country or jurisdiction;","for each product and service in its supply chain reported under 101-5-d, report the information required under 101-6-a, 101-6-b, 101-6-c, and 101-6-d, with a breakdown by country or jurisdiction;",E,E,"for each product and service in its supply chain reported under 101-5-d, report the information required under 101-6-a, 101-6-b, 101-6-c, and 101-6-d, with a breakdown by country or jurisdiction;","for each product and service in its supply chain reported under 101-5-d, report the information required under 101-6-a, 101-6-b, 101-6-c, and 101-6-d, with a breakdown by country or jurisdiction;",urn:ngsi-ld:Indicator:for_each_product_and_service_in_its_supply_chain_reported_under_101-5-d_report_the_information_r,success,
urn:sds:reg:esrs:e1_1_09,ESRS Official,Significant CapEx for coal-related economic activities,Significant CapEx for coal-related economic activities,E,E,Significant CapEx for coal-related economic activities,Significant CapEx for coal-related economic activities,urn:ngsi-ld:Indicator:Significant_CapEx_for_coal-related_economic_activities,success,
urn:sds:reg:gri:gri_101_6_f,GRI Official,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.","report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",E,E,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.","report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",urn:ngsi-ld:Indicator:report_contextual_information_necessary_to_understand_how_the_data_has_been_compiled_including_s,success,
urn:sds:reg:esrs:e1_1_10,ESRS Official,Significant CapEx for oil-related economic activities,Significant CapEx for oil-related economic activities,E,E,Significant CapEx for oil-related economic activities,Significant CapEx for oil-related economic activities,urn:ngsi-ld:Indicator:Significant_CapEx_for_oil-related_economic_activities,success,
