identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:e1_5_06,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_06,urn:ngsi-ld:Indicator:Fuel_consumption_from_renewable_sources,2,success,
urn:sds:reg:esrs:e1_5_07,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_07,urn:ngsi-ld:Indicator:Consumption_of_purchased_or_acquired_electricity_heat_steam_and_cooling_from_renewable_sources,2,success,
urn:sds:reg:esrs:e1_5_08,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_08,urn:ngsi-ld:Indicator:Consumption_of_self-generated_non-fuel_renewable_energy,2,success,
urn:sds:reg:esrs:e1_5_09,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_09,urn:ngsi-ld:Indicator:Percentage_of_renewable_sources_in_total_energy_consumption,2,success,
urn:sds:reg:esrs:e1_5_10,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_10,urn:ngsi-ld:Indicator:Fuel_consumption_from_coal_and_coal_products,2,success,
urn:sds:reg:esrs:e1_5_11,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_11,urn:ngsi-ld:Indicator:Fuel_consumption_from_crude_oil_and_petroleum_products,2,success,
urn:sds:reg:esrs:e1_5_12,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_12,urn:ngsi-ld:Indicator:Fuel_consumption_from_natural_gas,2,success,
urn:sds:reg:esrs:e1_5_13,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_13,urn:ngsi-ld:Indicator:Fuel_consumption_from_other_fossil_sources,2,success,
urn:sds:reg:esrs:e1_5_14,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_14,urn:ngsi-ld:Indicator:Consumption_of_purchased_or_acquired_electricity_heat_steam_or_cooling_from_fossil_sources,2,success,
urn:sds:reg:esrs:e1_5_15,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_15,urn:ngsi-ld:Indicator:Percentage_of_fossil_sources_in_total_energy_consumption,2,success,
urn:sds:reg:esrs:e1_5_16,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_16,urn:ngsi-ld:Indicator:Non-renewable_energy_production,2,success,
urn:sds:reg:esrs:e1_5_17,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_17,urn:ngsi-ld:Indicator:Renewable_energy_production,2,success,
urn:sds:reg:esrs:e1_5_18,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_18,urn:ngsi-ld:Indicator:Energy_intensity_from_activities_in_high_climate_impact_sectors_total_energy_consumption_per_net,2,success,
urn:sds:reg:esrs:e1_5_20,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_20,urn:ngsi-ld:Indicator:High_climate_impact_sectors_used_to_determine_energy_intensity,2,success,
urn:sds:reg:esrs:e1_5_21,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_21,urn:ngsi-ld:Indicator:Disclosure_of_reconciliation_to_relevant_line_item_or_notes_in_financial_statements_of_net_reven,2,success,
urn:sds:reg:esrs:e1_5_22,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_22,urn:ngsi-ld:Indicator:Net_revenue_from_activities_in_high_climate_impact_sectors,2,success,
urn:sds:reg:esrs:e1_5_23,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_23,urn:ngsi-ld:Indicator:Net_revenue_from_activities_other_than_in_high_climate_impact_sectors,2,success,
